step,winner,endpoint_factor,edge_factor
10,1,-6,4
11,1,-9,25
12,1,-7,23
13,1,-9,25
14,1,-14,10
15,1,-13,27
0,-1,0,0
1,-1,1,-17
2,-1,-2,-32
3,-1,-3,-15
4,-1,-2,-32
5,-1,-1,-15
6,-1,-4,-32
7,-1,-1,-15
8,-1,-4,-32
9,-1,-11,-47
10,-1,-1,-43
11,-1,0,6
12,-1,-3,-11
13,-1,-2,6
14,-1,2,6
15,-1,5,23
16,-1,4,6
17,-1,3,24
18,-1,0,6
19,-1,-10,46
20,-1,-12,12
21,-1,-11,70
22,-1,-13,30
23,-1,-16,52
24,-1,-14,92
25,-1,-11,118
26,-1,-9,118
27,-1,-12,102
28,-1,-10,102
29,-1,-12,106
30,-1,-10,106
31,-1,6,136
32,-1,20,84
33,-1,18,132
34,-1,17,114
35,-1,18,146
36,-1,20,144
37,-1,18,146
38,-1,17,124
39,-1,15,124
40,-1,17,122
41,-1,15,124
0,-1,0,0
1,-1,-3,-17
2,-1,-8,-34
3,-1,-3,-17
4,-1,-2,-34
5,-1,0,0
6,-1,5,17
7,-1,5,17
8,-1,-12,-26
9,-1,-11,-45
10,-1,-10,-30
11,-1,-10,-30
12,-1,-7,-15
13,-1,-9,-15
14,-1,-6,-34
15,-1,-3,-17
16,-1,-6,-34
0,-1,0,0
1,-1,-1,17
2,-1,0,0
3,-1,1,17
4,-1,-2,0
5,-1,1,17
6,-1,16,26
7,-1,14,26
8,-1,19,41
9,-1,17,39
10,-1,18,22
11,-1,7,13
12,-1,11,9
0,1,0,0
1,1,-1,17
2,1,0,0
3,1,1,17
4,1,-10,-30
5,1,-7,-15
6,1,-6,-32
7,1,-5,17
8,1,-4,-2
9,1,-6,0
10,1,-11,-49
11,1,-14,-28
12,1,-2,0
13,1,9,43
14,1,9,7
15,1,14,56
16,1,13,7
17,1,21,39
18,1,24,22
19,1,22,20
20,1,13,-28
21,1,12,-6
22,1,6,-40
23,1,6,0
24,1,6,-40
25,1,7,16
26,1,1,-26
27,1,4,36
28,1,2,-6
29,1,-10,8
30,1,-13,-13
31,1,-16,12
0,1,0,0
1,1,-1,17
2,1,0,0
3,1,-1,17
4,1,-4,0
5,1,-5,17
6,1,-4,0
7,1,-1,15
8,1,-1,15
9,1,9,43
