Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.17     27.50     0.05 24167828     0.00     0.00  std::remove_reference<std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > >&>::type&& std::move<std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > >&>(std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > >&)
  0.17     27.55     0.05 12083874     0.00     0.00  void std::allocator_traits<std::allocator<Move> >::construct<Move, int&, int&, Piece>(std::allocator<Move>&, Move*, int&, int&, Piece&&)
  0.14     27.59     0.04 70130166     0.00     0.00  std::__detail::_Hash_code_base<unsigned int, std::pair<unsigned int const, std::bitset<7ul> >, std::__detail::_Select1st, std::hash<unsigned int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_h1() const
  0.14     27.63     0.04 51786876     0.00     0.00  std::__detail::_Node_iterator<std::pair<unsigned int const, std::bitset<7ul> >, false, false>::operator->() const
  0.14     27.67     0.04 51784475     0.00     0.00  std::unordered_map<unsigned int, std::bitset<7ul>, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, std::bitset<7ul> > > >::end()
  0.14     27.71     0.04 51784475     0.00     0.00  std::unordered_map<unsigned int, std::bitset<7ul>, std::hash<unsigned int>, std::equal_to<unsigned int>, std::allocator<std::pair<unsigned int const, std::bitset<7ul> > > >::find(unsigned int const&)
  0.14     27.75     0.04 39835075     0.00     0.00  std::pair<int, int>::pair<int, int, true>(int const&, int const&)
  0.14     27.79     0.04 39835075     0.00     0.00  std::queue<std::pair<int, int>, std::deque<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::pop()
  0.14     27.83     0.04 37178653     0.00     0.00  Piece&& std::forward<Piece>(std::remove_reference<Piece>::type&)
  0.14     27.87     0.04 24167828     0.00     0.00  std::allocator_traits<std::allocator<std::pair<int, int>*> >::allocate(std::allocator<std::pair<int, int>*>&, unsigned long)
  0.14     27.91     0.04 12083914     0.00     0.00  std::_Deque_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >::_Deque_base(std::_Deque_base<std::pair<int, int>, std::allocator<std::pair<int, int> > >&&, std::integral_constant<bool, true>)
